Title,From,To,Year,Biography,Residency Statement,Artwork Images Credits,Artwork Images link,Source
Emma McCormick Goodhart,January,February,2024,"<p>Emma McCormick Goodhart EMG (b. 1990, USA) is an artist, writer, researcher, and dramaturge who experiments across media, timescales, and modes of practice. Interested in deep-time developments of sensing—especially sound and scent—alongside technosensory futures, she stages soft architectures, social ecologies, and climate fictions that retune the spaces hosting them. Presentations include Haus der Kulturen der Welt, Kunsthalle Zürich, Le Musée d’Art Moderne de Paris, Nottingham Contemporary, and the Venice Architecture Biennale. Her writing appears in e-flux, Flash Art, Frieze, Sternberg Press, and Vestoj. An Affiliate Artist at the Rose Choreographic School, she is a commissioned artist for Counterpublic 2026.</p>","<p>During her residency at Bangkok Kunsthalle in January 2024, McCormick Goodhart developed  “glai glaai”  (2024), a neon sign-sculpture and speculative fiction installed across three floors. Her research into “hypervisual ecologies of spatial practice,” drawing on patchwork glyphs in Yaowarat, shaped the work’s language-based intervention.</p><p>The installation features neon text reading “ใกล้” (“glai,” near) and “ไกล” (“glaai,” far”)—Thai homonyms differing only in tone—rendered in green and pink hues echoing local shark’s fin–bird’s nest restaurant signage. Read through one another’s involuting glow and hum, the words collapse space and time into poetic ambiguity.</p><p>Described as a “proposition in neon,” the work operates as timescaling thought-form, spatial riddle, and anticipatory weathervane—gesturing toward contact, not forwards, but towards. It launched alongside “gl ai yph” (2024), a limited-edition artist book probing neon as deep-time environmental media: primordial isotope turned televisual icon, its fluid gas glow sustaining an afterlife of afterimage.</p>","Emma McCormick Goodhart, “glai glaai”, 2024, neon sign-sculpture. Courtesy of the artist and Bangkok Kunsthalle. Emma McCormick Goodhart, “glai glaai”, 2024, neon sign-sculpture. Courtesy of the artist and Bangkok Kunsthalle. Photo by Puttisin Choojesroom. Emma McCormick Goodhart, “gl ai yph”, 2024. Courtesy of the artist and Bangkok Kunsthalle. Photo by Puttisin Choojesroom.",Not in source,1
Natalie Brück,July,September,2024,"<p>Natalie Brück (b. 1989, Germany) is a multidisciplinary artist based in Berlin. Her work spans performance, video, spoken pieces, and installation, focusing on processes that unfold between people rather than on fixed objects or outcomes. Brück studied at the Hochschule der Bildenden Künste Saar and at the Academy of Fine Arts Munich, where she developed a performative practice working with language, body, and spatial structures.</p><p>Her installations often incorporate found objects and constructed environments, creating perceptual situations that invite viewers to reflect on their own position, attention, and experience. Brück’s work has been presented in various exhibition contexts and performance spaces.</p>","<p>As part of her 2024 residency at Bangkok Kunsthalle, Brück developed “Working On The Imaginary Object” (2024), a movement performance created in collaboration with a group of local performers. The work unfolded through the formation of “empty spaces,” focusing on what emerges between people rather than on fixed objects or outcomes.</p><p>Through their gestures, the performers appeared to be working on something intangible. Seemingly invisible objects became perceptible through movement, while collective action proved essential. Structures surfaced through shared activity and were continuously reshaped in the process. Yet each performer carried their own idea of the object, their own questions, and their own interpretations.</p><p>Alongside the performance, Brück hosted an artist talk and workshop with Master’s degree students from the Faculty of Painting, Sculpture and Graphic Arts at Silpakorn University. This exchange extended her residency into a space of exchange, offering students the opportunity to engage directly with her methods and questions around collectivity, abstraction, and the possibilities of performance.</p>","Natalie Brück, “Working On The Imaginary Object”, 2024, performance. Courtesy of the artist and Bangkok Kunsthalle. Photo by Sivakorn Charoenyothin.",Not in source,1
Cole Lu,October,October,2024,"<p>Cole Lu (b. 1984, Taiwan) melds historical and literary references with personal experience to tell stories of dissonance and longing through twirling odysseys of ancient mythologies echoing trauma, transformation, and regeneration. His sculptures and paintings—burnt wood panels, linen, engraved metal, and concrete—depict elaborate mythological retellings. Through pyrography (writing with fire) and expansive, subversive titles, Lu returns to storytelling’s poetic origins, liberating his work from linear hierarchies of thought and form. The meditative, laborious repetition of burning spans intimate to immersive scales, building worlds where mythological and autobiographical converge and are reborn.</p>","<p>In partnership with Nova Contemporary, Bangkok Kunsthalle hosted Lu as artist in residence in October 2024.</p><p>Raised in a literary household—his father a university librarian—Lu’s relationship to books and text informs his pyrographic practice of meticulously burnt wood and linen. Fire operates as a generative force, echoing trauma, transformation, and renewal. His medium resonated with the fiery history of the Watana Panich building, activating memory through fire and text in works produced during the residency.</p><p>This residency culminated in “The Engineers” (2024), a site-specific installation at the Museum & Library of Abbots of Wat Bowonniwet Vihara, presented as part of the Bangkok Art Biennale 2024, and included a discussion with Hera Chan, Adjunct Curator, Asia-Pacific, supported by Asymmetry, at Tate and co-curator of Thailand Biennale Phuket 2025, in which the two examined Lu’s engagement with materiality, alchemy, writing, and themes of portals, exile, diaspora, and history.</p>","Cole Lu, “The Engineers”, 2024, neem wood and linen. Courtesy of the artist, Nova Contemporary, and Bangkok Kunsthalle. Photo by Kanrapee Chokpaiboon. Cole Lu, “The Engineers”, 2024, neem wood and linen. Courtesy of the artist, Nova Contemporary, and Bangkok Kunsthalle. Photo by Krittawat Atthsis and Puttisin Choojesroom. “In conversation with Cole Lu and Hera Chan”, 2024. Courtesy of the artist, Nova Contemporary, and Bangkok Kunsthalle. Photo by Krittawat Atthsis and Puttisin Choojesroom.",Not in source,1
Anthony Huberman,February,March,2025,"<p>Anthony Huberman (b. 1975, Switzerland) is a curator and writer currently living in New York, where he is the Executive Artistic Director of Giorno Poetry Systems and Visiting Faculty at CCS Bard. He was Director and Chief Curator of CCA Wattis Institute for Contemporary Arts in San Francisco, Founding Director of The Artist’s Institute in New York, and Curator at the Contemporary Art Museum St. Louis, Palais de Tokyo, and SculptureCenter. He has curated exhibitions at Wiels in Brussels, Raven Row in London, MoMA PS1 in New York, KW in Berlin, and Macro in Rome, among others.</p>","<p>During his residency at Bangkok Kunsthalle, Huberman conducted in-depth research into the local art scene, visiting institutions, artist studios, and estates. Concluding his time, Huberman presented a talk titled “An Artist Led Approach” (2025), where he shared insights on how institutions can learn from artists and follow their lead, drawing on examples from artists he has collaborated with and learned from, and showcasing exhibitions he has curated and institutions he has directed in the United States and Europe in recent years.</p>","Anthony Huberman, “An Artist Led Approach”, 2025. Courtesy of the curator and Bangkok Kunsthalle.",Not in source,1
Spencer Sweeney,July,December,2025,"<p>Spencer Sweeney (b. 1973, USA) is a painter/musician who also creates multimedia environments, turning galleries into workshops and stages, exposing the artist's studio to public view. Born in Philadelphia, he graduated from the Pennsylvania Academy of the Fine Arts in 1997. He moved to New York and started showing at American Fine Arts gallery and collaborated with Colin Deland and Lizzi Bougatsos in forming the noise-art group “Actress”. Influenced by jazz and popular culture, his work references artists like Picabia, Bob Thompson, and Matisse. In 2015, he published a 500-page book of conversations. His salon, “Headz”, hosts experimental jazz performances globally. Sweeney's current work embraces ""availablism,"" blending psychological directness with a dynamic creative process.</p>","<p>During his residency at Bangkok Kunsthalle, Sweeney initiated a sequence of activations, from a moving-image program to live performances conceived as listening sessions, reanimating the Kunsthalle’s historic building as a site of cultural convergence and bridging New York City nightlife with Bangkok’s emergent creative energy.</p><p>“Living Cinematheque” (2025) brought together films spanning eras and modes of experimentation, including “Ornette: Made in America” by Shirley Clarke and “Testament of Orpheus” by Jean Cocteau.</p><p>With “Disco Hut” (2025), he hosted an extended listening session that transformed the space into an intimate sound lounge animated by soft lights and shared attention. For Sweeney, the artwork is the studio itself, a site of experimentation and hospitality, while the paintings remain poetic residues of encounters, gestures, and shared time that extend beyond the canvas.</p>","Spencer Sweeney, “Living Cinematheque”, 2025. Courtesy of the artist and Bangkok Kunsthalle. Photo by Patsu Supakajohnwanich. Spencer Sweeney, “Living Cinematheque”, 2025. Courtesy of the artist and Bangkok Kunsthalle. Photo by Prapasiri Kasemkijkajorn. Spencer Sweeney, “Disco Hut”, 2025. Courtesy of the artist and Bangkok Kunsthalle. Photo by Prapasiri Kasemkijkajorn. Shirley Clarke, “Ornette: Made in America”, 1985. Installation view, Bangkok Kunsthalle. Courtesy of the director and Bangkok Kunsthalle. Photo by Patsu Supakajohnwanich.",Not in source,1
Luca Lo Pinto,August,September,2025,"<p>Luca Lo Pinto (b. 1981, Italy) is an Italian editor and curator, Artistic Director of the Museum of Contemporary Art of Rome, and co-founder of NERO. From 2014 to 2019 he was curator at Kunsthalle Wien, where he organized solo exhibitions of Nathalie Du Pasquier, Camille Henrot, and Olaf Nicolai, among others, as well as group exhibitions including “Time is Thirsty” and “Publishing as an artistic toolbox: 1989–2017.” Other projects include the 16th Art Quadriennale at Palazzo delle Esposizioni and “Antigrazioso” at Palais de Tokyo. He has written widely and edited “Documenta 1955–2012” and artist books, publishing the time-capsule “2014” in 2014.</p>","<p>During his residency, sponsored by the Istituto Italiano di Cultura and art4d, Luca Lo Pinto hosted an art talk and workshop at Bangkok Kunsthalle.</p><p>“From Display to Discourse: Expanding the Role of the Curator” (2025), introduced by Dr. Maria Sica, examined exhibition-making as constructing situations with multiple visual and conceptual entry points. Rather than a display of objects, exhibitions become negotiations among human and non-human agents, time, architecture, light, sound, and smell, inviting viewers to unlearn the familiar.</p><p>The curatorial workshop further reconsidered institutions not as neutral spaces but as contested sites for inquiry, critical reflection, and coexistence, keeping artists central while embracing in-betweenness across disciplines.</p>","Luca Lo Pinto, “From Display to Discourse: Expanding the Role of the Curator”, 2025. Courtesy of the curator and Bangkok Kunsthalle.",Not in source,1
Eduardo Williams,September,November,2025,"<p>Eduardo Williams (b. 1987, Argentina) is an award-winning filmmaker and video artist currently based in Paris, France. Writing for e-flux, George Macbeth states, “Williams isn’t a filmmaker content with slipping into the straitjacket of a restrained or recognizable arthouse vernacular.” Indeed, Williams has received recognition from the Lincoln Center, Harvard University, and his films have premiered at the world’s most prestigious film festivals, including Cannes, Locarno, NYFF, and TIFF.</p><p>His debut feature, “El auge del humano” (The Human Surge, 2016) received critical acclaim and won the Golden Leopard in the “Filmmakers of the Present” section at the Locarno Film Festival.</p>","<p>The experience of Bangkok inspired Williams to shoot a new video work, scheduled for 2027, continuing his investigation of space by destabilizing nearness and distance. From the rooftop of Bangkok Kunsthalle, he filmed intimate conversations between strangers with a powerful zoom lens, adopting the position of an urban voyeur. The work interweaves footage from three cities across continents, collapsing geographies into a fluid spatial continuum.</p><p>During his residency, Williams hosted screenings and an intimate artist hangout reflecting his collaborative approach. The program featured “El auge del humano” (The Human Surge), “El auge del humano 3” (The Human Surge 3, 2023), and “Parsi” (2018), tracing movements of people and images across physical and virtual borders. Informal gatherings with local artists fostered dialogue on experimental cinema as an evolving, collective process. The residency concluded with “Un gif larguísimo”, looped in the Screening Room, extending his exploration of perception and interiority.</p>","Eduardo Williams, “Un gif larguísimo” (A Very Long Gif), 2022, color, sound, 75 minutes. Courtesy of the artist. Eduardo Williams, “Parsi”, 2018, color, sound, 23 minutes. Courtesy of the artist. Eduardo Williams, “Un gif larguísimo” (A Very Long Gif), 2022. Installation view, Bangkok Kunsthalle. Courtesy of the artist and Bangkok Kunsthalle. Photo by Patsu Supakajohnwanich. Eduardo Williams, screenings and workshop, 2025. Courtesy of the artist and Bangkok Kunsthalle. Photo by Krittawat Atthsis.",Not in source,1
Apichaya Wannakit,July,August,2025,"<p>Apichaya Wannakit (b. 2000, Thailand) graduated from the Faculty of Painting, Sculpture and Graphic Arts, Silpakorn University. Her paintings employ a range of techniques in color and texture to explore the relationship between her identity and her surroundings. These surroundings extend beyond physical objects or people to encompass cultural forms and social reflections that question and shape her sense of self as expressed through her art.</p><p>Wannakit seeks to convey the process of self-construction through the language of painting. She perceives all things as interconnected, transcending time and space. Even imaginary imagery emerges from fragments of diverse realities. Her methodology brings together experiences, memories, truths, and narratives, weaving them into a cohesive visual language. The forms in her work invite viewers to reflect on objects and events—past, present, and future—through the lens of life’s interconnected experiences.</p>","<p>In addition to hosting international artists, Bangkok Kunsthalle supports emerging Thai artists through partnerships with overseas institutions. As part of its collaboration with Palazzo Monti under the “Fertile” program, Wannakit became the first Thai artist selected for a residency in Brescia.</p><p>During her residency, she developed “Legacy: between absence and eternity” (2025), a large-scale oil painting, alongside a smaller “Untitled” (2025), both shaped by attentiveness to what is given through human encounter. The large painting renders her body twice within one space, reflecting two perspectives, origin and present, using repetition as a method of looking back through distance. The smaller work offers a more intimate meditation on separation and self-perception. Together, the paintings articulate how place, exchange, and distance shape recognition.</p>","Apichaya Wannakit, “Legacy: between absence and eternity”, 2025, oil on canvas. Courtesy of the artist, Bangkok Kunsthalle, and Palazzo Monti. Apichaya Wannakit, “Untitled”, 2025, oil on canvas. Courtesy of the artist, Bangkok Kunsthalle, and Palazzo Monti.",Not in source,1
Nicolas Amato,January,February,2025,Not in source,"<p>During his residency at Bangkok Kunsthalle, Nicolas Amato (b. 1986) recognized the presence of a serpent stretching along the green terrazzo banister across four flights of stairs. The figure did not arrive as an imposition but as a revelation—something latent within the building’s architecture waiting to be uncovered.</p><p>Amato’s intervention took the form of polishing, a gesture that became the work itself.</p><p>Rather than adding, he attuned to the materiality of the space, dissolving into its surfaces and amplifying the overlooked. The serpent inhabits thresholds and liminal zones, guiding circulation while inviting pause. The project also aligned with Bangkok Kunsthalle’s curatorial program of architectural intervention: domesticating the building through art. By refining rather than inscribing, Amato rendered the familiar unfamiliar, transforming stairs and landings into intentional sites of presence.</p><p>Amato’s work privileges subtlety over spectacle. The serpent here is not representation but a spatial device—an elemental figure that makes surfaces luminous, gestures precious, and the overlooked newly significant</p>","Nicolas Amato, “Unwinding Architecture: the Poetics of the Snake”, 2025, mixed media. Courtesy of the artist and Bangkok Kunsthalle.",Not in source,1
Rolf Sachs,January,February,2026,"<p>Rolf Sachs (b.1955, Switzerland) is a multidisciplinary artist and designer working in Rome. Who applies a distinctive humane and conceptual approach across a multitude of mediums, ranging from painting, sculpture, photography, and design.</p><p>Since the 1990s, Sachs has challenged preconceived applications of materials, processes, and everyday objects, instilling them with novel meaning. Focusing on exploring the human psyche, people’s character, relationships, soul and spirit—whilst maintaining a humorous and sensitive approach. Imperfection, human flaws, and coincidence are recurring themes of his practice.</p>","<p>During his residency at Bangkok Kunsthalle, Sachs installed a temporary working studio and exhibition space to create over 400 moving portraits, inviting the surrounding community and visitors to take part in the creative process. Rather than functioning solely as a stage of production, the studio became a lively meeting point between visitors and the artist, culminating in the exhibition “Soul Searching” (2026).</p><p>Sachs reimagines portrait photography by moving away from the conventional format that asks models to stand still and face the camera. Instead, participants were encouraged to move freely, dance, turn, or gesture, while the artist captured fleeting moments. Movement and expression became central to the process.</p><p>The photographs record gestures and distinct personalities, forming a collective portrait that reflects the shared spirit of the community. The exhibition invites viewers to see them as traces of encounters, identity, and exchange.</p>","Rolf Sachs, Soul Searching, 2026. Installation view, Bangkok Kunsthalle. Courtesy of the artist and Bangkok Kunsthalle. Photo by Krittawat Atthsis. Rolf Sachs, Soul Searching, 2026. Installation view, Bangkok Kunsthalle. Courtesy of the artist and Bangkok Kunsthalle. Photo by Preecha Pattara. Rolf Sachs, Soul Searching, 2026. Installation view, Bangkok Kunsthalle. Courtesy of the artist and Bangkok Kunsthalle. Photo by Sirikanya Amarananthakit.",Not in source,1
Mafalda von Hessen,January,February,2026,"<p>Mafalda von Hessen (b. 1965, Germany) is a German-born artist and painter. Coming from costume designer and theater designer background, earning a Master’s degree in Theater Design from the Tisch School of the Arts, New York University and founding her own fashion label in 2015—she now devotes herself entirely to painting.</p><p>Her background in fashion and design informs her keen fascination with the materiality of objects and spaces. Von Hessen’s work examines the aesthetics of everyday life and the poetic qualities found within interior spaces, objects, and people. Often depicting intimate snapshots of interiors, her paintings are richly detailed, with intricately decorated surfaces and warm, vibrant hues that suggest a convivial, lived-in atmosphere.</p>","<p>As von Hessen walks through the streets of Bangkok, she becomes overwhelmed by the coexistence of electrical wires, trees, and sky, imagining them as a small-scale ecosystem layered above the city. It is a space that asks us to look up, while everyday life continues below.</p><p>During her residency at Bangkok Kunsthalle, von Hessen positioned herself as an observer. Through delicate pencil lines, she traced light, shadow, and patches of shade cast by trees entangled with dense electrical wires. The works, concluding in “Splendor in the City” (2026), form a visual diary of space, time, and emotion.</p><p>Seen from below, the web of wires becomes more than infrastructure. Interwoven with persistent trees, it reflects development and adaptation within Bangkok’s growth. The exhibition invites viewers to pause and look up, seeing these entangled lines as relationships between humans, nature, and the urban city.</p>","Mafalda von Hessen, Splendor in the City, 2026. Courtesy of the artist and Bangkok Kunsthalle. Photo by Ponpavee Rittirongkhajorn. Mafalda von Hessen, Splendor in the City, 2026. Installation view, Bangkok Kunsthalle. Courtesy of the artist and Bangkok Kunsthalle. Photo by Krittawat Atthsis. Mafalda von Hessen, Splendor in the City, 2026. Installation view, Bangkok Kunsthalle. Courtesy of the artist and Bangkok Kunsthalle. Photo by Preecha Pattara. Mafalda von Hessen, Splendor in the City, 2026. Courtesy of the artist and Bangkok Kunsthalle. Photo by Sirikanya Amarananthakit.",Not in source,1